Height,Width,Weight,Cost,Transport
17,6,4128,16.27,Airways
3,3,61,15,Roadways
8,5,237,21.18,Roadways
9,,,16.31,
17,6,324,11.94,Airways
46,19,1178,16.88,
17,9,7264,90.67,Roadways
23,10,3287,13.25,Waterways
6,4,108,19.76,Waterways
23,9,195226,49.25,Roadways
47,25,40834,85.09,
32,9,,56.04,Airways
13,6,1534,20.72,Airways
26,9,,17.55,
21,6,3954,16.43,Waterways
44,12,4991242,84.38,Roadways
10,4,11909,28.18,Waterways
37,9,239463,64.64,Roadways
19,14,7976,82.84,Roadways
,,65103,86.65,Roadways
20,9,198,15.76,
,9,216919,46.56,Waterways
9,5,184,10.48,Roadways
29,9,745770,30.87,Airways
24,8,261562,91.58,Waterways
10,4,174,19.61,Waterways
25,9,7901,93.59,Waterways
28,15,985,19.83,Roadways
16,8,63720,59.22,
17,6,182,11.04,
20,8,53954,99.06,Airways
10,4,4900,18.35,Airways
13,7,449,24.67,Airways
6,4,79,22.24,
,5,88,22.49,Waterways
8,5,301,20.36,Waterways
16,8,358,13.82,Airways
36,17,593,17,Roadways
22,15,16046,89.55,Waterways
16,7,1002,22.03,
29,8,7757,78.75,Airways
,5,71,19.83,
49,17,196893,81.85,Waterways
6,5,355,15.04,Roadways
20,7,3669,11.07,
36,,61696,48.17,
9,4,74,11.75,Roadways
8,4,215,23.85,Roadways
16,8,4679,19.77,Airways
24,12,2443,15.8,Airways
47,23,5624,63.79,Roadways
,,160742,92.44,
15,7,3872,20.04,Airways
22,9,345055,54.25,Waterways
15,6,553,18.09,Waterways
39,7,1073,23.31,
7,5,415,22,Airways
26,,583,16.83,Waterways
31,,507253,45.19,
43,13,1954301,92.25,Airways
18,8,5263,55.05,
7,5,4736,23.76,Airways
39,15,3996,22.39,
15,7,16227,54.29,Airways
44,21,2663,15.69,
34,13,3151086,44.95,Waterways
15,8,143739,72.82,Roadways
35,17,557,18.45,Waterways
,3,495,20.95,Waterways
32,11,2135,14.81,Airways
18,8,10381,45.79,Airways
26,12,524871,59.65,Airways
25,24,14074,95.89,Airways
8,4,788,24.47,Roadways
17,7,133437,94.13,Roadways
25,11,1849,15.48,Airways
10,4,496,18.67,Roadways
18,6,,17.09,Roadways
9,5,1247,13.52,Roadways
14,8,,10.26,
30,15,575,13.39,Roadways
19,11,250244,95.79,Roadways
30,10,1016,13.29,Waterways
12,8,2112,17.29,Airways
16,6,1171,18.85,Airways
15,6,477,15.4,Airways
56,17,50809,67.44,Waterways
25,17,768813,55.12,Roadways
23,13,345,22.3,Airways
,14,2851,22.15,
16,,944,16.52,Roadways
24,15,799475,54.34,Airways
10,4,,91.98,Waterways
41,9,494,18.88,Airways
37,20,9467,27.4,
35,13,,34.46,
14,7,3694,17.02,
8,,149,21.85,Waterways
37,16,7365,29.16,Waterways
24,17,4848,23.52,Airways
23,10,1153,20.65,Roadways
30,7,1104,14.04,Waterways
